epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2749.44,1.28045,1.43718,1.71291,0.75493,0.6365,0.67725,0.39161,1.61164,1.3055,2.30837,0.002921,0.002921,0.002921
44,2813.51,1.27687,1.41874,1.70974,0.77582,0.62726,0.68547,0.39328,1.61025,1.32497,2.3088,0.0028715,0.0028715,0.0028715
45,2877.44,1.26285,1.40626,1.70833,0.76115,0.63207,0.68332,0.3891,1.62698,1.29769,2.32731,0.002822,0.002822,0.002822
46,2941.43,1.25998,1.40482,1.69605,0.75119,0.64969,0.68288,0.39081,1.62493,1.30447,2.33313,0.0027725,0.0027725,0.0027725
47,3005.39,1.25531,1.3864,1.69197,0.78848,0.63429,0.6895,0.39395,1.61727,1.30151,2.31895,0.002723,0.002723,0.002723
48,3069.41,1.24157,1.35517,1.6818,0.72895,0.65878,0.69033,0.39767,1.62486,1.29338,2.32847,0.0026735,0.0026735,0.0026735
49,3133.36,1.24062,1.35003,1.68148,0.77191,0.6577,0.69653,0.39833,1.61803,1.26048,2.32908,0.002624,0.002624,0.002624
50,3197.29,1.24432,1.33173,1.6808,0.81066,0.63379,0.69537,0.39387,1.63398,1.25663,2.33923,0.0025745,0.0025745,0.0025745
51,3261.28,1.23658,1.32744,1.67572,0.76748,0.65587,0.69652,0.39619,1.63139,1.26766,2.34296,0.002525,0.002525,0.002525
52,3325.23,1.22153,1.31342,1.66349,0.75826,0.64976,0.69358,0.39777,1.6293,1.25887,2.34292,0.0024755,0.0024755,0.0024755
53,3389.21,1.21832,1.29691,1.65645,0.79038,0.64079,0.69616,0.39635,1.64403,1.24945,2.36138,0.002426,0.002426,0.002426
54,3453.02,1.21694,1.27537,1.66172,0.80406,0.63811,0.69601,0.39523,1.63406,1.24831,2.35537,0.0023765,0.0023765,0.0023765
55,3516.8,1.20845,1.25555,1.64956,0.76004,0.65975,0.69528,0.39435,1.64132,1.25271,2.35846,0.002327,0.002327,0.002327
56,3580.59,1.18916,1.23523,1.63336,0.75605,0.66843,0.70233,0.39885,1.63784,1.23728,2.36049,0.0022775,0.0022775,0.0022775
57,3644.46,1.19068,1.23176,1.63516,0.77789,0.65288,0.70482,0.39744,1.64202,1.23285,2.36899,0.002228,0.002228,0.002228
58,3708.32,1.18375,1.22056,1.6296,0.80163,0.62724,0.69863,0.3966,1.64415,1.23997,2.37704,0.0021785,0.0021785,0.0021785
59,3771.96,1.18129,1.22585,1.62317,0.75858,0.65003,0.70092,0.39445,1.64494,1.24071,2.37982,0.002129,0.002129,0.002129
60,3835.74,1.17607,1.19821,1.61779,0.77987,0.65394,0.69956,0.39487,1.64574,1.25377,2.37872,0.0020795,0.0020795,0.0020795
61,3899.63,1.16542,1.18908,1.6138,0.79387,0.65054,0.69564,0.39542,1.64631,1.25063,2.38666,0.00203,0.00203,0.00203
62,3963.33,1.1626,1.17389,1.61227,0.77171,0.65574,0.69596,0.3934,1.65481,1.25396,2.3979,0.0019805,0.0019805,0.0019805
63,4027.08,1.15382,1.15456,1.60175,0.78543,0.65295,0.70038,0.39543,1.6531,1.24261,2.39642,0.001931,0.001931,0.001931
64,4090.87,1.1515,1.15007,1.59466,0.78622,0.65755,0.69902,0.39425,1.66403,1.24597,2.41178,0.0018815,0.0018815,0.0018815
65,4154.7,1.14385,1.14742,1.59274,0.77197,0.66757,0.69804,0.39673,1.66638,1.23903,2.41872,0.001832,0.001832,0.001832
66,4218.6,1.14049,1.1283,1.58748,0.76929,0.66954,0.69881,0.3976,1.66709,1.23515,2.42034,0.0017825,0.0017825,0.0017825
67,4282.27,1.13754,1.13543,1.58898,0.78369,0.65476,0.69695,0.39405,1.67151,1.23479,2.42613,0.001733,0.001733,0.001733
68,4346.03,1.12025,1.12072,1.57642,0.79537,0.64752,0.69477,0.39181,1.66886,1.236,2.42436,0.0016835,0.0016835,0.0016835
69,4409.87,1.12254,1.10554,1.57687,0.79722,0.64651,0.6986,0.39377,1.66809,1.24004,2.42355,0.001634,0.001634,0.001634
70,4473.46,1.11756,1.09556,1.56372,0.80202,0.64356,0.69761,0.39266,1.66775,1.24773,2.42693,0.0015845,0.0015845,0.0015845
71,4537.2,1.11049,1.09264,1.5627,0.79255,0.64859,0.69706,0.39216,1.67389,1.2504,2.43636,0.001535,0.001535,0.001535
72,4600.95,1.10471,1.06726,1.55665,0.78271,0.65177,0.69819,0.39176,1.67993,1.2529,2.44574,0.0014855,0.0014855,0.0014855
73,4664.8,1.10015,1.06186,1.55285,0.77098,0.66284,0.69965,0.39352,1.68124,1.25454,2.45042,0.001436,0.001436,0.001436
74,4728.57,1.089,1.05956,1.54515,0.7819,0.65561,0.69921,0.39363,1.68522,1.25652,2.45789,0.0013865,0.0013865,0.0013865
75,4791.84,1.0844,1.06167,1.5425,0.78749,0.65354,0.70141,0.39592,1.68626,1.25669,2.46277,0.001337,0.001337,0.001337
76,4855.42,1.07627,1.04407,1.53769,0.77528,0.65669,0.70143,0.39708,1.68571,1.25536,2.46528,0.0012875,0.0012875,0.0012875
77,4919.21,1.07404,1.03987,1.53627,0.77128,0.65794,0.70048,0.39818,1.68449,1.25547,2.46827,0.001238,0.001238,0.001238
78,4982.84,1.07878,1.04632,1.53667,0.77662,0.66233,0.70137,0.39695,1.68573,1.25317,2.47309,0.0011885,0.0011885,0.0011885
79,5046.48,1.06717,1.03716,1.52577,0.78301,0.66252,0.70232,0.39683,1.68652,1.256,2.47793,0.001139,0.001139,0.001139
80,5110.25,1.06045,1.0237,1.51788,0.77795,0.66317,0.70059,0.39658,1.6872,1.25511,2.48216,0.0010895,0.0010895,0.0010895
81,5174.26,1.04949,1.00348,1.51147,0.77533,0.66599,0.70022,0.39704,1.69028,1.25913,2.48738,0.00104,0.00104,0.00104
82,5238.06,1.05659,1.00851,1.51741,0.77752,0.66662,0.70114,0.39694,1.6923,1.25788,2.49124,0.0009905,0.0009905,0.0009905
83,5301.81,1.05359,1.01663,1.51552,0.77453,0.66495,0.69734,0.39496,1.69238,1.26091,2.49383,0.000941,0.000941,0.000941
84,5365.68,1.03513,0.98123,1.49969,0.77361,0.66819,0.69987,0.39486,1.69423,1.2591,2.4971,0.0008915,0.0008915,0.0008915
85,5429.62,1.03531,0.98436,1.50145,0.77562,0.66742,0.69949,0.39548,1.69372,1.25586,2.49934,0.000842,0.000842,0.000842
86,5493.28,1.02555,0.9769,1.49074,0.78032,0.66842,0.7016,0.39433,1.69527,1.25472,2.50334,0.0007925,0.0007925,0.0007925
87,5556.99,1.03109,0.9756,1.49666,0.77724,0.6677,0.7011,0.39376,1.69597,1.25649,2.50695,0.000743,0.000743,0.000743
88,5620.75,1.02395,0.96636,1.49001,0.77467,0.67261,0.70269,0.39473,1.69676,1.25814,2.50993,0.0006935,0.0006935,0.0006935
89,5684.41,1.02239,0.9697,1.48656,0.76912,0.67128,0.7027,0.3944,1.69759,1.25933,2.51271,0.000644,0.000644,0.000644
