epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2669.98,1.26032,1.29435,1.71552,0.81401,0.68121,0.73372,0.40967,1.62242,1.20212,2.32706,0.0021882,0.0021882,0.0021882
43,2733.44,1.24572,1.27067,1.7087,0.77978,0.67717,0.71704,0.40896,1.62321,1.22388,2.33856,0.0021684,0.0021684,0.0021684
44,2796.71,1.2438,1.26757,1.70401,0.80787,0.66354,0.71852,0.41186,1.62002,1.20964,2.33171,0.0021486,0.0021486,0.0021486
45,2860.24,1.23208,1.25043,1.69675,0.78091,0.67808,0.72009,0.41198,1.62337,1.21483,2.32974,0.0021288,0.0021288,0.0021288
46,2923.69,1.24133,1.24459,1.6953,0.80106,0.66734,0.71664,0.40619,1.62737,1.2196,2.34522,0.002109,0.002109,0.002109
47,2986.5,1.2295,1.22547,1.68457,0.80019,0.66093,0.71825,0.41007,1.61735,1.21459,2.33418,0.0020892,0.0020892,0.0020892
48,3049.3,1.22236,1.21858,1.68211,0.81565,0.67935,0.72566,0.41587,1.62374,1.19961,2.34313,0.0020694,0.0020694,0.0020694
49,3112.63,1.20324,1.19167,1.66815,0.79679,0.67619,0.72365,0.41278,1.6173,1.18978,2.33961,0.0020496,0.0020496,0.0020496
50,3176.21,1.20839,1.18902,1.6679,0.82975,0.65635,0.72671,0.41577,1.6264,1.1779,2.35051,0.0020298,0.0020298,0.0020298
51,3239.66,1.19373,1.16239,1.65974,0.82176,0.67346,0.72667,0.41416,1.62224,1.17698,2.34278,0.00201,0.00201,0.00201
52,3303.05,1.19639,1.16325,1.66021,0.79265,0.69151,0.73451,0.41564,1.6411,1.16966,2.35602,0.0019902,0.0019902,0.0019902
53,3366.63,1.18366,1.15961,1.64658,0.83137,0.67026,0.73723,0.41552,1.63683,1.17278,2.36589,0.0019704,0.0019704,0.0019704
