epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.336,1.49789,3.23849,1.84238,0.4299,0.43055,0.40252,0.1858,1.77427,2.21381,2.26878,0.000208044,0.000208044,0.000208044
2,239.489,1.47523,2.48883,1.79766,0.52737,0.47233,0.48301,0.24436,1.73499,1.96738,2.22325,0.000408133,0.000408133,0.000408133
3,353.067,1.47902,2.25945,1.79461,0.54058,0.50288,0.50118,0.26267,1.7307,1.96164,2.22897,0.000599972,0.000599972,0.000599972
4,468.944,1.47879,2.12286,1.79,0.6717,0.53439,0.59043,0.31494,1.68764,1.68862,2.18225,0.000587875,0.000587875,0.000587875
5,584.184,1.45473,1.979,1.75919,0.67546,0.57431,0.61772,0.33095,1.68092,1.60481,2.18758,0.0005755,0.0005755,0.0005755
6,691.141,1.42627,1.8828,1.73792,0.66226,0.56127,0.60498,0.31024,1.75949,1.62,2.2174,0.000563125,0.000563125,0.000563125
7,795.75,1.4123,1.79673,1.72104,0.70609,0.5949,0.6427,0.32753,1.71225,1.52025,2.22416,0.00055075,0.00055075,0.00055075
