epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.339,1.49789,3.23849,1.84238,0.4299,0.43055,0.40252,0.1858,1.77427,2.21381,2.26878,0.000208044,0.000208044,0.000208044
2,260.909,1.47523,2.48883,1.79766,0.52737,0.47233,0.48301,0.24436,1.73499,1.96738,2.22325,0.000408133,0.000408133,0.000408133
3,384.307,1.47902,2.25945,1.79461,0.54058,0.50288,0.50118,0.26267,1.7307,1.96164,2.22897,0.000599972,0.000599972,0.000599972
