epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2900.97,1.32437,1.61206,1.76755,0.70648,0.63937,0.66598,0.38627,1.55632,1.32379,2.25996,0.002921,0.002921,0.002921
44,2968.32,1.32833,1.59672,1.76616,0.69131,0.6366,0.66337,0.38698,1.55123,1.3244,2.25077,0.0028715,0.0028715,0.0028715
45,3035.55,1.30992,1.57856,1.75632,0.72041,0.62657,0.66569,0.38442,1.56672,1.31181,2.26683,0.002822,0.002822,0.002822
46,3102.72,1.31257,1.5867,1.75426,0.70425,0.64579,0.6675,0.38702,1.55106,1.32394,2.26076,0.0027725,0.0027725,0.0027725
47,3169.96,1.30759,1.55843,1.75187,0.71609,0.62338,0.6694,0.38868,1.56122,1.31515,2.26169,0.002723,0.002723,0.002723
48,3237.09,1.30026,1.5282,1.74435,0.70258,0.64237,0.67126,0.38873,1.56614,1.30487,2.26882,0.0026735,0.0026735,0.0026735
49,3304.5,1.29447,1.52243,1.74051,0.71963,0.64749,0.67287,0.39051,1.55564,1.29423,2.26185,0.002624,0.002624,0.002624
50,3371.69,1.29981,1.50447,1.74375,0.70262,0.65979,0.67806,0.39564,1.55944,1.27044,2.26162,0.0025745,0.0025745,0.0025745
51,3438.95,1.29496,1.49857,1.74422,0.71359,0.65386,0.68088,0.39767,1.55512,1.27435,2.25501,0.002525,0.002525,0.002525
52,3506.13,1.28144,1.4836,1.73062,0.73676,0.65056,0.68964,0.39813,1.55536,1.25048,2.25927,0.0024755,0.0024755,0.0024755
53,3573.33,1.27788,1.47334,1.72581,0.73674,0.64177,0.68901,0.39936,1.55495,1.24618,2.25545,0.002426,0.002426,0.002426
54,3640.64,1.27698,1.43601,1.72569,0.74187,0.65176,0.69107,0.40379,1.54725,1.23296,2.2531,0.0023765,0.0023765,0.0023765
55,3707.71,1.26707,1.41127,1.71481,0.72387,0.65957,0.69381,0.40447,1.55667,1.22919,2.26257,0.002327,0.002327,0.002327
56,3774.85,1.25213,1.392,1.70149,0.7403,0.65617,0.69317,0.40234,1.55266,1.2341,2.25774,0.0022775,0.0022775,0.0022775
57,3842.08,1.25518,1.39519,1.70162,0.72275,0.66036,0.69106,0.40084,1.56394,1.22152,2.27061,0.002228,0.002228,0.002228
58,3909.25,1.25389,1.37628,1.70215,0.74979,0.65522,0.69522,0.40028,1.55399,1.22417,2.25563,0.0021785,0.0021785,0.0021785
59,3976.46,1.2509,1.37475,1.6939,0.75064,0.65467,0.69541,0.40178,1.55923,1.22501,2.26292,0.002129,0.002129,0.002129
60,4043.47,1.24602,1.35288,1.69179,0.73375,0.66828,0.69721,0.40339,1.56044,1.23201,2.26811,0.0020795,0.0020795,0.0020795
61,4110.57,1.24104,1.34037,1.69211,0.73947,0.67097,0.69361,0.40396,1.56845,1.22077,2.27659,0.00203,0.00203,0.00203
62,4177.72,1.23199,1.3424,1.68847,0.77835,0.64869,0.69661,0.40409,1.56076,1.22714,2.27083,0.0019805,0.0019805,0.0019805
63,4244.77,1.22313,1.30816,1.67704,0.77596,0.65018,0.69774,0.4044,1.55802,1.2254,2.27164,0.001931,0.001931,0.001931
64,4311.85,1.22112,1.29622,1.67152,0.75779,0.65811,0.69931,0.40427,1.56358,1.22468,2.27858,0.0018815,0.0018815,0.0018815
65,4378.98,1.21472,1.2979,1.66965,0.75043,0.65758,0.69865,0.40264,1.56235,1.21888,2.28115,0.001832,0.001832,0.001832
66,4446.06,1.20614,1.27277,1.66149,0.74522,0.66277,0.69783,0.40284,1.5656,1.21872,2.28705,0.0017825,0.0017825,0.0017825
67,4513.06,1.20798,1.27386,1.6648,0.76277,0.65405,0.69966,0.40448,1.56935,1.20767,2.29365,0.001733,0.001733,0.001733
68,4580.13,1.1963,1.26085,1.65487,0.7505,0.65799,0.70081,0.40247,1.57254,1.21383,2.29871,0.0016835,0.0016835,0.0016835
69,4647.23,1.19796,1.25306,1.65716,0.75879,0.65372,0.70066,0.40361,1.57373,1.21389,2.30035,0.001634,0.001634,0.001634
70,4714.33,1.19773,1.23443,1.64632,0.76833,0.64822,0.70224,0.40391,1.57747,1.2184,2.30365,0.0015845,0.0015845,0.0015845
71,4781.41,1.1878,1.2398,1.64637,0.78573,0.63936,0.69907,0.4048,1.57957,1.21694,2.30807,0.001535,0.001535,0.001535
72,4848.49,1.18263,1.21447,1.63834,0.77956,0.64715,0.70002,0.40552,1.58279,1.21434,2.31031,0.0014855,0.0014855,0.0014855
73,4915.62,1.18062,1.20331,1.63318,0.7766,0.65006,0.701,0.40478,1.58515,1.20991,2.31374,0.001436,0.001436,0.001436
74,4982.71,1.16728,1.20072,1.62632,0.76887,0.64862,0.70198,0.40642,1.5835,1.20733,2.3126,0.0013865,0.0013865,0.0013865
75,5049.83,1.16162,1.19149,1.6221,0.76808,0.65004,0.70196,0.40496,1.58257,1.20495,2.31452,0.001337,0.001337,0.001337
76,5116.93,1.1558,1.17896,1.62089,0.76325,0.65345,0.69951,0.40551,1.58314,1.20798,2.31764,0.0012875,0.0012875,0.0012875
77,5183.94,1.15125,1.16786,1.61461,0.75679,0.65426,0.69841,0.40629,1.5844,1.2074,2.31933,0.001238,0.001238,0.001238
78,5250.94,1.15715,1.16499,1.61758,0.75663,0.6555,0.69968,0.40556,1.58689,1.20569,2.32387,0.0011885,0.0011885,0.0011885
79,5318.21,1.1485,1.1636,1.60839,0.77024,0.64745,0.69953,0.40732,1.58821,1.20442,2.32826,0.001139,0.001139,0.001139
80,5385.36,1.14055,1.14795,1.60053,0.77166,0.64339,0.69876,0.40639,1.59081,1.20103,2.33364,0.0010895,0.0010895,0.0010895
81,5452.63,1.12852,1.1287,1.59438,0.75519,0.65522,0.69957,0.40739,1.5913,1.1997,2.33628,0.00104,0.00104,0.00104
82,5519.62,1.13109,1.12568,1.5975,0.76394,0.64986,0.69954,0.40604,1.59211,1.20118,2.33913,0.0009905,0.0009905,0.0009905
83,5586.79,1.13653,1.1386,1.59976,0.77065,0.64791,0.69994,0.40642,1.59462,1.2007,2.34262,0.000941,0.000941,0.000941
84,5653.9,1.11478,1.09957,1.58333,0.76702,0.64871,0.70057,0.40604,1.59517,1.20052,2.34486,0.0008915,0.0008915,0.0008915
85,5720.97,1.10891,1.10047,1.58381,0.76789,0.65038,0.70105,0.40629,1.59534,1.20295,2.34664,0.000842,0.000842,0.000842
86,5786.68,1.10885,1.09663,1.57437,0.76102,0.65486,0.70159,0.4063,1.59689,1.20417,2.34949,0.0007925,0.0007925,0.0007925
87,5852.09,1.10994,1.0934,1.58106,0.75982,0.65341,0.69965,0.40563,1.59926,1.20234,2.35372,0.000743,0.000743,0.000743
88,5918.05,1.10482,1.08305,1.57437,0.76572,0.64909,0.70131,0.40515,1.60082,1.20004,2.35674,0.0006935,0.0006935,0.0006935
89,5984.86,1.10543,1.08761,1.57479,0.76868,0.65108,0.70118,0.40515,1.60324,1.19948,2.36067,0.000644,0.000644,0.000644
90,6051.82,1.09635,1.0745,1.56424,0.76831,0.64891,0.70115,0.40564,1.60492,1.19941,2.36325,0.0005945,0.0005945,0.0005945
91,6119.41,1.06015,0.74163,1.71937,0.76354,0.64782,0.69964,0.40567,1.60579,1.19616,2.36516,0.000545,0.000545,0.000545
92,6186.52,1.02752,0.70702,1.69165,0.76179,0.65289,0.70062,0.40503,1.60636,1.1957,2.36686,0.0004955,0.0004955,0.0004955
93,6253.65,1.01422,0.67978,1.67394,0.75672,0.65725,0.70054,0.40489,1.60759,1.19607,2.36924,0.000446,0.000446,0.000446
94,6320.68,1.00691,0.67734,1.66726,0.75446,0.65899,0.70116,0.40466,1.60943,1.19733,2.37262,0.0003965,0.0003965,0.0003965
95,6388.03,0.9911,0.65786,1.65178,0.75533,0.65863,0.70139,0.40403,1.61021,1.19788,2.37503,0.000347,0.000347,0.000347
96,6455.31,0.98634,0.65503,1.65083,0.74153,0.66774,0.70245,0.40395,1.6114,1.19895,2.37871,0.0002975,0.0002975,0.0002975
97,6522.51,0.9797,0.64956,1.64395,0.74007,0.66856,0.70227,0.40344,1.61171,1.19926,2.38084,0.000248,0.000248,0.000248
98,6589.43,0.96896,0.64387,1.63646,0.73838,0.67299,0.70256,0.40316,1.61237,1.19944,2.38256,0.0001985,0.0001985,0.0001985
99,6656.63,0.96558,0.63775,1.63061,0.75005,0.65933,0.70169,0.40269,1.61302,1.19878,2.38508,0.000149,0.000149,0.000149
100,6723.81,0.96046,0.62803,1.62266,0.7483,0.65952,0.70019,0.40275,1.61335,1.19859,2.38674,9.95e-05,9.95e-05,9.95e-05
